LUC,GCM,RCP,Timestep,Ecosystem,StockGroup,Mean,Lower,Upper
Low,MIROC5,rcp45,2001,No,Aquatic,0,0,0
Low,MIROC5,rcp45,2001,No,Atmosphere,0,0,0
Low,MIROC5,rcp45,2001,No,DOM,0,0,0
Low,MIROC5,rcp45,2001,No,HAP,0,0,0
Low,MIROC5,rcp45,2001,No,HWP,0,0,0
Low,MIROC5,rcp45,2001,No,Live,0,0,0
Low,MIROC5,rcp45,2001,No,Soil,0,0,0
Low,MIROC5,rcp45,2001,Yes,DOM,375852.5259054904,375852.5259054904,375852.5259054904
Low,MIROC5,rcp45,2001,Yes,Live,1804282.7157985102,1804282.7157985102,1804282.7157985102
Low,MIROC5,rcp45,2001,Yes,Soil,2642995.7735058544,2642995.7735058544,2642995.7735058544
Low,MIROC5,rcp45,2002,No,Aquatic,2337.5663862161937,2337.566386215046,2337.5663862170104
Low,MIROC5,rcp45,2002,No,Atmosphere,4775.413500728692,4514.253430334724,5035.734676200349
Low,MIROC5,rcp45,2002,No,DOM,3.80907073516982,1.33466841436555,6.3722306367599995
Low,MIROC5,rcp45,2002,No,HAP,15359.435603532695,15356.585811338618,15363.322056958194
Low,MIROC5,rcp45,2002,No,HWP,4863.434644070342,4490.128155300352,5260.373882327884
Low,MIROC5,rcp45,2002,No,Live,59.573290195466015,45.31196157482364,70.94231036141096
Low,MIROC5,rcp45,2002,No,Soil,1779.2270138396511,1561.2421039716905,2043.2394393773452
Low,MIROC5,rcp45,2002,Yes,DOM,371495.6761821527,371276.5996843595,371689.2430642841
Low,MIROC5,rcp45,2002,Yes,Live,1782558.1627935993,1781855.9512594547,1783170.7637214537
Low,MIROC5,rcp45,2002,Yes,Soil,2639898.7167243753,2639546.0842471733,2640191.653580145
Low,MIROC5,rcp45,2003,No,Aquatic,4666.301197399904,4665.842292934349,4666.717375388702
Low,MIROC5,rcp45,2003,No,Atmosphere,-11752.655871539228,-12057.630141528056,-11434.186959251336
Low,MIROC5,rcp45,2003,No,DOM,6.37738031028648,3.3225631765165247,9.692078400332
Low,MIROC5,rcp45,2003,No,HAP,31747.615307210555,31713.494354029615,31777.816176944896
Low,MIROC5,rcp45,2003,No,HWP,8924.939950981323,8361.621945114866,9457.809347509516
Low,MIROC5,rcp45,2003,No,Live,87.1351864156819,70.46814734292832,102.16735107441153
Low,MIROC5,rcp45,2003,No,Soil,2808.3954503603613,2561.4905822645214,3125.518099667744
Low,MIROC5,rcp45,2003,Yes,DOM,368720.96598894795,368423.39665320027,369023.87750957673
Low,MIROC5,rcp45,2003,Yes,Live,1783124.4458044837,1782102.5716838522,1784095.776276195
Low,MIROC5,rcp45,2003,Yes,Soil,2634797.4948148127,2634413.0672177942,2635121.432715485
Low,MIROC5,rcp45,2004,No,Aquatic,6985.901420550251,6984.821665555755,6986.969009098074
Low,MIROC5,rcp45,2004,No,Atmosphere,-43938.28716485492,-44353.12983773631,-43537.71000780569
Low,MIROC5,rcp45,2004,No,DOM,9.05778055278194,5.686284340983274,13.116633297310969
Low,MIROC5,rcp45,2004,No,HAP,49784.75431444443,49722.18446596402,49847.31689101554
Low,MIROC5,rcp45,2004,No,HWP,13470.188102147702,12954.113361124671,14052.147140510973
Low,MIROC5,rcp45,2004,No,Live,116.21661233740157,99.77139647744778,134.0454589357305
Low,MIROC5,rcp45,2004,No,Soil,3824.422067543042,3570.531043890849,4243.1545217310195
Low,MIROC5,rcp45,2004,Yes,DOM,373214.1221801902,372964.42954962456,373557.1383941386
Low,MIROC5,rcp45,2004,Yes,Live,1791029.1609786681,1789962.918448636,1791917.9838648017
Low,MIROC5,rcp45,2004,Yes,Soil,2628635.4789177557,2628098.8314371267,2629023.358517239
